fec;pet;eur;oro;dol;c18;c36;ibe
141217;63.31;3550.34;1307.9;3015.41;55.16;60.276;10176.5
151217;63.23;3528.11;1308.1;2999.07;55.215;59.914;10150.4
161217;63.07;3525.21;1310.78;2996.61;55.224;59.555;10173.23
171217;63.17;3525.21;1314.86;2996.61;55.162;59.238;10213.11
181217;63.41;3539.3;1316.3;2996.61;55;59;10244.1
191217;63.8;3513.87;1315.5;2975.59;54.724;58.869;10234.3
201217;64.56;3531.09;1321.1;2972.05;54.367;58.828;10207.7
211217;64.9;3517.11;1322;2965.77;53.976;58.849;10304.6
221217;65.25;3506.8;1330.5;2963.58;53.598;58.905;10182
231217;65.91;3505.1;1303.26;2962.14;53.278;58.967;10091.28
241217;66.66;3505.1;1268.44;2962.14;53.063;59.008;10090.5
251217;67.14;3505.1;1277.9;2962.14;53;59;10133.39
261217;67.02;3514.28;1339.2;2962.14;53.118;58.923;10173.71
271217;66.44;3522.72;1343;2962.26;53.38;58.79;10165.2
281217;66.72;3547.23;1350.1;2971.63;53.734;58.622;10093.1
291217;66.87;3582.89;1362.6;2984;54.126;58.438;10043.9
301217;66.54;3582.89;1335.32;2984;54.504;58.259;10034.72
311217;66.09;3582.89;1299.65;2984;54.812;58.107;10049.59
10118;65.95;3582.89;1308.7;2984;55;58;10070.41
20118;66.57;3593.93;1370.5;2984;55.029;57.954;10079.1
30118;67.84;3535.6;1374.2;2940.94;54.928;57.955;10116
40118;68.07;3511.94;1377.4;2908.68;54.74;57.984;10314.4
50118;67.62;3473.01;1378.4;2885.76;54.509;58.022;10411.4
60118;67.23;3488.13;1379.97;2898.32;54.279;58.051;10420.96
70118;67.21;3488.13;1380.98;2898.32;54.095;58.05;10402.18
80118;67.78;3470.74;1376.8;2898.32;54;58;10398.4
90118;68.82;3457.41;1370;2898.32;54.025;57.889;10426.5
100118;69.2;3491.42;1377;2914.37;54.148;57.732;10428.3
110118;69.26;3487.86;1380.1;2895.69;54.333;57.55;10435.2
120118;69.87;3480.5;1394.4;2865.79;54.546;57.364;10462.4
130118;70.56;3468.44;1371.79;2855.86;54.752;57.196;10458.47
140118;70.83;3468.44;1337.4;2855.86;54.915;57.068;10445.03
150118;70.26;3504.71;1341.8;2855.86;55;57;10467.2
160118;69.15;3492.43;1396.8;2855.86;54.982;57.008;10520.4
170118;69.38;3510.76;1399.7;2868.03;54.878;57.085;10474.6
180118;69.31;3489.21;1387.4;2851.13;54.715;57.215;10432.7
190118;68.61;3467.48;1394.3;2836.85;54.518;57.386;10479.5
200118;68.24;3485.69;1398.59;2851.75;54.316;57.583;10522.62
210118;68.4;3485.69;1396.91;2851.75;54.134;57.792;10550.44
220118;69.03;3493.39;1394;2851.75;54;58;10584
230118;69.96;3508.38;1398.2;2854.2;53.932;58.194;10609.5
240118;70.53;3539.11;1419.1;2858.5;53.919;58.372;10563
250118;70.42;3526.23;1425.9;2820.53;53.942;58.533;10595.3
260118;70.52;3459.99;1416;2783.13;53.98;58.677;10595.4
270118;70.39;3487.33;1409.31;2805.12;54.016;58.803;10614.11
280118;69.98;3487.33;1406.82;2805.12;54.029;58.911;10623.23
290118;69.46;3465.73;1403.6;2805.12;54;59;10555.6
300118;69.02;3527.75;1398.5;2842.67;53.916;59.07;10428.2
310118;69.05;3542.66;1401.7;2844.14;53.786;59.119;10451.5
10218;69.65;3535.02;1406.7;2835.05;53.626;59.146;10399
20218;68.58;3490.37;1396.2;2806.67;53.452;59.149;10211.2
30218;67.87;3522.04;1391.44;2832.13;53.279;59.126;10176.66
40218;67.75;3522.04;1393.35;2832.13;53.123;59.077;10200.19
50218;67.62;3517.22;1394.5;2832.13;53;59;10064.5
60218;66.86;3509.86;1387;2843.6;52.921;58.894;9810
70218;65.51;3496.87;1372.3;2844.83;52.882;58.765;9976.9
80218;64.81;3469.54;1376.4;2830.89;52.875;58.619;9756.3
90218;62.79;3506.05;1372.3;2862.78;52.892;58.463;9639.6
100218;61.97;3562.28;1373.7;2908.7;52.923;58.304;9693.33
110218;62.28;3562.28;1380.1;2908.7;52.962;58.147;9780.13
120218;62.59;3570.43;1383.1;2908.7;53;58;9771.1
130218;62.72;3588.25;1387;2904.29;53.03;57.867;9650.7
140218;64.36;3603.29;1415.1;2904.71;53.05;57.743;9686.2
150218;64.33;3613.37;1413.7;2895.79;53.06;57.62;9714.9
160218;64.84;3549.56;1415;2851.74;53.061;57.492;9832.1
170218;65.47;3551.33;1387.06;2853.16;53.051;57.35;9845.38
180218;65.78;3551.33;1350.5;2853.16;53.031;57.189;9793.7
190218;65.67;3536.49;1347.8;2853.16;53;57;9806.2
200218;65.25;3520.8;1390.1;2853.16;52.96;56.781;9895.3
210218;65.42;3525.42;1392.3;2862.01;52.918;56.55;9823.3
220218;66.39;3545.33;1393.1;2877.94;52.884;56.33;9876.5
230218;67.31;3537.61;1390.7;2877.04;52.866;56.142;9822.4
240218;67.88;3503.86;1394.31;2849.59;52.873;56.009;9809.29
250218;67.98;3503.86;1399.26;2849.59;52.915;55.954;9855.07
260218;67.5;3501.01;1394.8;2849.59;53;56;9902.4
270218;66.63;3487.72;1381.3;2849.91;53.133;56.16;9900.2
280218;65.78;3482.81;1380.8;2855.93;53.301;56.412;9840.3
10318;63.83;3492.29;1367.6;2867.94;53.484;56.726;9738.6
20318;64.37;3543.82;1385.8;2879.05;53.663;57.073;9531.1
30318;65.01;3543.95;1389.94;2879.15;53.822;57.421;9467.62
40318;65.23;3543.95;1381.39;2879.15;53.94;57.74;9526.88
50318;65.54;3548.84;1382.1;2879.15;54;58;9590.8
60318;65.79;3544.99;1397.5;2859.09;53.988;58.178;9586.8
70318;64.34;3528.15;1389.5;2845.05;53.911;58.278;9599.3
80318;63.61;3524.14;1384;2858.88;53.783;58.31;9646.2
90318;65.49;3536.94;1386.9;2871.36;53.615;58.288;9686.1
100318;66.31;3531.48;1385.8;2866.93;53.42;58.221;9720.34
110318;65.79;3531.48;1382.62;2866.93;53.211;58.121;9739.48
120318;64.95;3531.2;1383.7;2866.93;53;58;9727.5
130318;64.64;3535.14;1390.3;2851.84;52.798;57.867;9691.7
140318;64.89;3520.03;1388.6;2848.38;52.611;57.726;9688.5
150318;65.12;3505.69;1380.6;2845.76;52.441;57.58;9684.2
160318;66.21;3499.56;1375.2;2850.04;52.292;57.432;9761
170318;66.43;3502.56;1377.38;2852.48;52.166;57.284;9762.08
180318;66.04;3502.56;1381.79;2852.48;52.068;57.139;9702.69
190318;66.05;3516.82;1380.6;2852.48;52;57;9664.1
200318;67.42;3499.99;1375.1;2852.48;51.964;56.868;9681.6
210318;69.47;3516.56;1385.5;2866.92;51.954;56.74;9630.9
220318;68.91;3508.34;1391.1;2850.69;51.961;56.612;9487.4
230318;70.45;3532.05;1413.9;2857.88;51.977;56.478;9393.1
240318;71.11;3521.09;1427.68;2849.01;51.995;56.334;9343.55
250318;70.61;3521.09;1427.8;2849.01;52.005;56.177;9335.97
260318;70.12;3544.45;1419.9;2849.01;52;56;9381
270318;70.11;3490.56;1406.7;2816.33;51.975;55.804;9473.6
280318;69.53;3433.35;1387.8;2780.04;51.939;55.599;9555
290318;70.27;3419.14;1384.9;2780.47;51.902;55.402;9600.4
300318;70.17;3419.14;1392.12;2780.47;51.879;55.229;9636.83
310318;69.15;3419.14;1401.71;2780.47;51.879;55.093;9662.42
10418;68.03;3419.14;1407.84;2780.47;51.916;55.012;9664.7
20418;67.64;3422.2;1404.7;2780.47;52;55;9631.25
30418;68.12;3427.8;1395.4;2792.96;52.139;55.067;9549.6
40418;68.02;3416.72;1398.6;2778.27;52.315;55.196;9513.3
50418;68.33;3413.25;1387;2791.57;52.508;55.365;9740.9
60418;67.11;3417.3;1394.8;2787.36;52.695;55.552;9682.8
70418;66.41;3422.84;1400.71;2791.88;52.854;55.735;9639.04
80418;66.93;3422.84;1400.17;2791.88;52.963;55.892;9681.06
90418;68.65;3436.8;1398.5;2791.88;53;56;9742.8
100418;71.04;3435.43;1404.4;2781.95;52.951;56.041;9763.5
110418;72.06;3427.39;1418.9;2767.82;52.832;56.015;9735.8
120418;72.02;3366.26;1400.3;2733.24;52.666;55.925;9747
130418;72.58;3340.38;1406.6;2710.03;52.477;55.775;9767.3
140418;72.6;3334.6;1413.48;2705.34;52.287;55.568;9767.31
150418;72.06;3334.6;1412.92;2705.34;52.12;55.309;9759.79
160418;71.42;3345.15;1409.3;2705.34;52;55;9766.1
170418;71.58;3365.28;1408;2726.47;51.943;54.649;9803.9
180418;73.48;3373.28;1412.2;2725.66;51.936;54.278;9857.3
190418;73.78;3344.98;1407.5;2705.64;51.961;53.911;9868
200418;74.06;3344.83;1396.9;2724.47;51.999;53.575;9884.2
210418;74.61;3385.95;1385.8;2757.96;52.031;53.294;9910.04
220418;74.98;3385.95;1379.32;2757.96;52.038;53.094;9928.44
230418;74.71;3369.95;1382.7;2757.96;52;53;9922
240418;73.86;3418.97;1391.8;2799.45;51.905;53.027;9883.4
250418;74;3389.89;1381.6;2785.22;51.765;53.151;9858
260418;74.74;3415.94;1376.7;2820.29;51.597;53.337;9902.3
270418;74.64;3403.52;1382.3;2812.83;51.418;53.549;9925.4
280418;75.23;3395.6;1386.85;2806.28;51.248;53.754;9927.71
290418;75.88;3395.6;1385.99;2806.28;51.102;53.916;9937.38
300418;75.17;3390.27;1377.8;2806.28;51;54;9980.6
10518;73.13;3368.53;1365.1;2809.92;50.953;53.982;10060.63
20518;73.36;3359.26;1364;2809.92;50.949;53.879;10088.9
30518;73.62;3384.51;1371.1;2831.99;50.973;53.716;10038.8
40518;74.87;3409.13;1373.4;2857.85;51.006;53.52;10104.1
50518;76.3;3391.9;1373.35;2843.41;51.033;53.318;10146.07
60518;76.98;3391.9;1372.95;2843.41;51.037;53.136;10145.04
70518;76.17;3387.35;1372.9;2843.41;51;53;10140.9
80518;74.85;3339.51;1372.5;2817.2;50.911;52.93;10168.1
90518;77.21;3397.36;1371.7;2866;50.78;52.914;10221.2
100518;77.47;3396.53;1380.8;2859.51;50.62;52.935;10246.6
110518;77.12;3370.76;1379.1;2822.37;50.448;52.972;10271.4
120518;77.34;3372.76;1384.14;2824.05;50.277;53.008;10280.98
130518;77.86;3372.76;1388.95;2824.05;50.123;53.023;10274.1
140518;78.23;3379.54;1376.6;2824.05;50;53;10257.8
150518;78.43;3349.61;1348.5;2824.05;49.919;52.925;10207.6
160518;79.28;3405.71;1350.1;2889.87;49.877;52.805;10111
170518;79.3;3378.56;1347.9;2865.37;49.866;52.654;10216.4
180518;78.51;3396.8;1349.2;2886.23;49.881;52.485;10112.4
190518;78.32;3443.22;1349.53;2925.67;49.912;52.311;10010.38
200518;78.71;3443.22;1348.52;2925.67;49.954;52.145;9996.93
210518;79.22;3437.37;1349;2925.67;50;52;10066.5
220518;79.57;3410.78;1350;2897.37;50.042;51.888;10138.8
230518;79.8;3337.02;1347.4;2851.42;50.077;51.811;10025
240518;78.79;3356.58;1362.4;2863.24;50.101;51.771;9996
250518;76.44;3336.39;1361.4;2863.12;50.108;51.769;9826.5
260518;75.32;3364.41;1332.44;2887.16;50.097;51.806;9803.09
270518;75.28;3364.41;1298.3;2887.16;50.062;51.882;9854.4
280518;75.3;3354.88;1297.6;2887.16;50;52;9764.4
290518;75.39;3338.42;1354.6;2887.16;49.908;52.157;9521.3
300518;77.5;3360.01;1357.6;2893.82;49.791;52.339;9566.2
310518;77.59;3360.74;1355.9;2879.32;49.653;52.527;9465.5
10618;76.79;3369.52;1350.9;2889.32;49.499;52.705;9632.4
20618;75.99;3344.92;1346.77;2868.22;49.336;52.855;9778.77
30618;75.43;3344.92;1346.21;2868.22;49.168;52.959;9808.9
40618;75.29;3354.38;1349.4;2868.22;49;53;9750.3
50618;75.38;3346.64;1354.1;2868.22;48.838;52.965;9686.4
60618;75.36;3375.41;1353.5;2865.37;48.681;52.867;9791.6
70618;77.32;3344.32;1354.4;2828.42;48.531;52.721;9829
80618;76.46;3336.3;1354.4;2835.78;48.388;52.544;9746.3
90618;76.06;3359.85;1355.38;2855.8;48.251;52.354;9745.52
100618;76.46;3359.85;1356.47;2855.8;48.122;52.167;9820.85
